CompanyName,TelNum,Address,Latitude,Longitude
Senheng Bandar Baru Nilai,016-2991398,"9895 & 9896, Jalan BBN 1/3J ,Putra Point, Fasa 1,Bandar Baru Nilai ,71800 Nilai, Negeri Sembilan",2.8215387,101.7920226
Senheng Bandar Puteri Puchong,016-2991398,"No 34 (GF & 3F) and 36 (GF), Jalan Puteri 2/5 Bandar Puteri, 47100 Puchong, Selangor",3.0232245,101.6160065
Senheng Bandar Utama Cheng M,016-2991398,"No.75 & 75-1, Jalan Inang 4 , Taman Paya Rumput Utama , 76450 Melaka",2.2800377,102.2175848
"Senheng Bandar Utama, Segamat",016-2991398,"No. 12 (Ground Floor) &No. 13 (Ground & First Floor) ,Jalan Susur 2/1 Taman Utama Bandar Baru, 85000 Segamat, Johor",2.5220757,102.8058248
Senheng Bukit Mertajam,016-2991398,"11, 12 & 12A, Precint 1 @ Sunway Wellesley , Jalan Muthu Palaniapan, 14000 Bukit Mertajam, Penang",5.3682625,100.4572047
Senheng Cheras Balakong,016-2991398,"No.13A-G,13A-1,13A-2,15G,15-1 & 15-2 Jalan C 180/1, Dataran C180 Jalan Balakong, Batu 11 43200 Cheras, Selangor",3.0364058,101.7656226
Senheng Dungun,016-2991398,"Lot 11777 & 11778 GM8428 ,Jalan Pak Sabah Mukim, Kuala Dungun ,23000 Dungun, Terengganu",4.7549654,103.4103266
Senheng Farlim,016-2991398,"Fortune Court, 288 B-1-10 & 11 Ground Floor, Jalan Thean Teik, Farlim,11500 Penang.",5.3925594,100.2861459
Senheng Gombak,016-2991398,"Diamond Square No. 15 & 17, Jalan 2/50, Bt. 3 ½, Jalan Gombak, 53000 Setapak, Kuala Lumpur",3.1984553,101.7079351
Senheng Ipoh Station 18,016-2991398,"No. 9 & 9A, 11 & 11A, 13 & 13A, Jalan Pengkalan Utama 1 ,Taman Pengkalan Utama ,31650 Ipoh, Perak",4.542,101.0665248
Senheng Jitra,016-2991398,"34, Pekan Jitra 3, Jitra, 06000 Jitra, Kedah, Malaysia",6.2607715,100.4191013
Senheng Kangar,016-2991398,"No. 1A Persiaran Jubli Emas, 01000 Kangar Perlis",6.4450433,100.2357407
Senheng Kelana Jaya,016-2991398,"F14 & F15 Giant Hypermarket Jalan SS6/12, Kelana Jaya 47301 Petaling Jaya.",3.103485,101.5979753
